Source,Target,Type,Id,Weight
1,2,undirected,1,1
1,3,undirected,2,1
1,4,undirected,3,1
1,5,undirected,4,1
10,66,undirected,5,1
10,85,undirected,6,1
100,101,undirected,7,1
105,106,undirected,8,1
108,109,undirected,9,1
11,113,undirected,10,1
11,12,undirected,11,1
11,13,undirected,12,1
11,14,undirected,13,1
12,13,undirected,14,1
12,14,undirected,15,1
13,14,undirected,16,1
14,113,undirected,17,1
16,17,undirected,18,1
16,18,undirected,19,1
16,19,undirected,20,1
17,18,undirected,21,1
17,19,undirected,22,1
18,19,undirected,23,1
19,86,undirected,24,1
19,87,undirected,25,1
19,88,undirected,26,1
19,89,undirected,27,1
2,105,undirected,28,1
2,106,undirected,29,1
2,116,undirected,30,1
2,16,undirected,31,1
2,17,undirected,32,1
2,18,undirected,33,1
2,19,undirected,34,1
2,27,undirected,35,1
2,3,undirected,36,1
2,4,undirected,37,1
2,5,undirected,38,1
2,94,undirected,39,1
2,95,undirected,40,1
20,21,undirected,41,1
22,23,undirected,42,1
22,24,undirected,43,1
22,25,undirected,44,1
23,24,undirected,45,1
23,25,undirected,46,1
24,25,undirected,47,1
26,36,undirected,48,1
26,37,undirected,49,1
26,38,undirected,50,1
26,42,undirected,51,1
26,72,undirected,52,1
27,102,undirected,53,1
27,105,undirected,54,1
27,106,undirected,55,1
27,28,undirected,56,1
27,29,undirected,57,1
27,30,undirected,58,1
27,31,undirected,59,1
27,46,undirected,60,1
27,47,undirected,61,1
27,59,undirected,62,1
27,94,undirected,63,1
27,95,undirected,64,1
28,102,undirected,65,1
28,29,undirected,66,1
28,30,undirected,67,1
28,31,undirected,68,1
28,59,undirected,69,1
29,30,undirected,70,1
29,31,undirected,71,1
3,4,undirected,72,1
3,5,undirected,73,1
30,102,undirected,74,1
30,31,undirected,75,1
30,59,undirected,76,1
30,60,undirected,77,1
30,61,undirected,78,1
30,62,undirected,79,1
32,33,undirected,80,1
32,34,undirected,81,1
32,35,undirected,82,1
32,77,undirected,83,1
32,93,undirected,84,1
32,99,undirected,85,1
33,34,undirected,86,1
33,35,undirected,87,1
34,35,undirected,88,1
36,37,undirected,89,1
36,38,undirected,90,1
36,39,undirected,91,1
36,42,undirected,92,1
37,38,undirected,93,1
37,39,undirected,94,1
37,42,undirected,95,1
38,39,undirected,96,1
38,42,undirected,97,1
4,116,undirected,98,1
4,16,undirected,99,1
4,17,undirected,100,1
4,18,undirected,101,1
4,19,undirected,102,1
4,27,undirected,103,1
4,46,undirected,104,1
4,47,undirected,105,1
4,5,undirected,106,1
40,41,undirected,107,1
42,107,undirected,108,1
43,44,undirected,109,1
43,45,undirected,110,1
44,45,undirected,111,1
46,47,undirected,112,1
48,100,undirected,113,1
48,101,undirected,114,1
48,49,undirected,115,1
48,50,undirected,116,1
48,51,undirected,117,1
48,52,undirected,118,1
48,55,undirected,119,1
49,50,undirected,120,1
49,51,undirected,121,1
49,52,undirected,122,1
49,55,undirected,123,1
50,51,undirected,124,1
50,52,undirected,125,1
50,55,undirected,126,1
51,52,undirected,127,1
51,55,undirected,128,1
52,94,undirected,129,1
52,95,undirected,130,1
52,96,undirected,131,1
52,97,undirected,132,1
52,98,undirected,133,1
53,54,undirected,134,1
59,102,undirected,135,1
59,60,undirected,136,1
59,61,undirected,137,1
59,62,undirected,138,1
6,115,undirected,139,1
6,15,undirected,140,1
6,21,undirected,141,1
6,57,undirected,142,1
6,58,undirected,143,1
6,7,undirected,144,1
6,8,undirected,145,1
6,83,undirected,146,1
6,84,undirected,147,1
6,9,undirected,148,1
6,92,undirected,149,1
60,61,undirected,150,1
60,62,undirected,151,1
61,62,undirected,152,1
63,64,undirected,153,1
64,110,undirected,154,1
64,67,undirected,155,1
64,81,undirected,156,1
68,69,undirected,157,1
68,70,undirected,158,1
69,70,undirected,159,1
7,10,undirected,160,1
7,104,undirected,161,1
7,11,undirected,162,1
7,110,undirected,163,1
7,111,undirected,164,1
7,112,undirected,165,1
7,115,undirected,166,1
7,14,undirected,167,1
7,15,undirected,168,1
7,20,undirected,169,1
7,21,undirected,170,1
7,22,undirected,171,1
7,23,undirected,172,1
7,24,undirected,173,1
7,25,undirected,174,1
7,26,undirected,175,1
7,30,undirected,176,1
7,32,undirected,177,1
7,33,undirected,178,1
7,34,undirected,179,1
7,35,undirected,180,1
7,36,undirected,181,1
7,37,undirected,182,1
7,38,undirected,183,1
7,39,undirected,184,1
7,40,undirected,185,1
7,41,undirected,186,1
7,44,undirected,187,1
7,53,undirected,188,1
7,56,undirected,189,1
7,57,undirected,190,1
7,58,undirected,191,1
7,59,undirected,192,1
7,60,undirected,193,1
7,61,undirected,194,1
7,62,undirected,195,1
7,63,undirected,196,1
7,64,undirected,197,1
7,65,undirected,198,1
7,67,undirected,199,1
7,73,undirected,200,1
7,74,undirected,201,1
7,75,undirected,202,1
7,77,undirected,203,1
7,8,undirected,204,1
7,81,undirected,205,1
7,82,undirected,206,1
7,9,undirected,207,1
7,93,undirected,208,1
7,99,undirected,209,1
71,72,undirected,210,1
73,74,undirected,211,1
73,75,undirected,212,1
74,104,undirected,213,1
74,75,undirected,214,1
74,77,undirected,215,1
76,117,undirected,216,1
76,77,undirected,217,1
76,78,undirected,218,1
76,79,undirected,219,1
76,80,undirected,220,1
77,104,undirected,221,1
77,114,undirected,222,1
77,117,undirected,223,1
77,78,undirected,224,1
77,79,undirected,225,1
77,80,undirected,226,1
77,82,undirected,227,1
77,93,undirected,228,1
77,99,undirected,229,1
78,79,undirected,230,1
78,80,undirected,231,1
79,114,undirected,232,1
79,117,undirected,233,1
79,80,undirected,234,1
8,10,undirected,235,1
8,103,undirected,236,1
8,107,undirected,237,1
8,108,undirected,238,1
8,109,undirected,239,1
8,26,undirected,240,1
8,32,undirected,241,1
8,33,undirected,242,1
8,34,undirected,243,1
8,35,undirected,244,1
8,36,undirected,245,1
8,37,undirected,246,1
8,38,undirected,247,1
8,39,undirected,248,1
8,40,undirected,249,1
8,41,undirected,250,1
8,42,undirected,251,1
8,43,undirected,252,1
8,44,undirected,253,1
8,45,undirected,254,1
8,53,undirected,255,1
8,56,undirected,256,1
8,57,undirected,257,1
8,65,undirected,258,1
8,71,undirected,259,1
8,72,undirected,260,1
8,77,undirected,261,1
8,85,undirected,262,1
8,9,undirected,263,1
8,90,undirected,264,1
8,91,undirected,265,1
8,92,undirected,266,1
8,99,undirected,267,1
80,117,undirected,268,1
83,84,undirected,269,1
86,87,undirected,270,1
86,88,undirected,271,1
86,89,undirected,272,1
87,88,undirected,273,1
87,89,undirected,274,1
88,89,undirected,275,1
9,115,undirected,276,1
9,15,undirected,277,1
9,57,undirected,278,1
9,58,undirected,279,1
9,68,undirected,280,1
9,69,undirected,281,1
9,70,undirected,282,1
9,83,undirected,283,1
9,84,undirected,284,1
9,92,undirected,285,1
90,91,undirected,286,1
94,105,undirected,287,1
94,106,undirected,288,1
94,95,undirected,289,1
94,96,undirected,290,1
94,97,undirected,291,1
94,98,undirected,292,1
95,105,undirected,293,1
95,106,undirected,294,1
95,96,undirected,295,1
95,97,undirected,296,1
95,98,undirected,297,1
96,97,undirected,298,1
96,98,undirected,299,1
97,98,undirected,300,1
