Id,Label,InfoMAP
1,0,43
139,0,43
144,0,43
390,0,43
10,0,45
11,0,45
229,0,45
352,0,8
101,0,78
102,0,78
103,0,64
234,0,64
551,0,7
104,0,16
105,0,16
106,0,16
601,0,16
648,0,16
649,0,16
185,0,11
256,0,15
398,0,25
514,0,5
107,0,52
108,0,52
442,0,32
216,0,52
109,0,1
127,0,1
335,0,1
483,0,1
609,0,1
131,0,2
110,0,11
111,0,11
506,0,2
112,0,54
113,0,54
114,0,54
317,0,10
332,0,54
333,0,54
334,0,54
561,0,26
115,0,97
116,0,97
151,0,36
385,0,97
401,0,0
117,0,50
118,0,50
119,0,50
484,0,50
485,0,50
486,0,50
133,0,2
12,0,41
244,0,13
381,0,41
120,0,1
121,0,1
327,0,1
438,0,1
122,0,8
123,0,8
124,0,8
253,0,34
351,0,8
282,0,3
125,0,29
372,0,29
126,0,15
602,0,15
136,0,21
182,0,5
566,0,32
128,0,7
357,0,7
405,0,7
441,0,32
470,0,80
548,0,24
549,0,24
550,0,7
603,0,7
604,0,7
610,0,7
129,0,3
130,0,3
13,0,3
14,0,3
15,0,3
16,0,3
422,0,69
421,0,45
590,0,42
132,0,2
183,0,2
243,0,13
535,0,2
146,0,2
147,0,2
150,0,96
152,0,36
316,0,10
507,0,2
508,0,2
519,0,20
520,0,20
541,0,20
546,0,20
172,0,83
534,0,2
134,0,21
135,0,21
336,0,1
446,0,86
159,0,21
323,0,21
137,0,17
138,0,17
164,0,37
165,0,37
312,0,8
488,0,51
140,0,43
141,0,43
45,0,5
46,0,3
142,0,0
143,0,0
400,0,0
474,0,0
578,0,0
145,0,9
473,0,0
276,0,0
277,0,9
148,0,10
149,0,10
458,0,10
246,0,96
153,0,36
155,0,0
376,0,69
434,0,36
475,0,0
154,0,36
477,0,0
193,0,37
286,0,58
156,0,57
157,0,57
521,0,57
158,0,53
359,0,53
370,0,53
567,0,21
281,0,3
283,0,3
39,0,3
419,0,31
160,0,35
161,0,35
162,0,35
163,0,35
530,0,35
192,0,37
639,0,37
641,0,37
166,0,28
167,0,28
168,0,28
169,0,28
439,0,28
468,0,28
618,0,28
17,0,81
18,0,81
170,0,83
171,0,83
189,0,10
233,0,83
489,0,51
173,0,55
174,0,39
175,0,39
605,0,55
606,0,55
607,0,55
608,0,55
414,0,39
492,0,39
493,0,39
176,0,62
626,0,62
177,0,65
178,0,65
179,0,65
180,0,65
504,0,46
187,0,5
29,0,81
329,0,38
378,0,19
536,0,19
181,0,9
515,0,5
184,0,2
186,0,5
437,0,11
450,0,11
528,0,11
529,0,11
583,0,60
584,0,56
250,0,5
251,0,5
533,0,5
552,0,5
532,0,5
188,0,29
456,0,10
459,0,10
19,0,14
20,0,14
21,0,14
190,0,6
191,0,6
269,0,6
270,0,6
271,0,6
272,0,6
273,0,6
274,0,6
275,0,6
194,0,95
195,0,95
505,0,19
619,0,95
196,0,73
197,0,73
198,0,73
199,0,73
203,0,47
2,0,33
3,0,33
4,0,33
478,0,70
5,0,33
512,0,33
595,0,33
367,0,14
509,0,14
200,0,47
201,0,47
202,0,47
510,0,47
511,0,47
204,0,46
205,0,46
502,0,46
206,0,49
207,0,1
208,0,49
318,0,49
299,0,1
624,0,49
209,0,67
210,0,67
211,0,67
237,0,89
212,0,67
260,0,66
499,0,79
633,0,67
213,0,71
214,0,71
295,0,71
215,0,52
636,0,52
637,0,52
217,0,27
218,0,27
219,0,27
225,0,85
410,0,27
411,0,27
412,0,27
426,0,27
553,0,22
642,0,87
22,0,71
220,0,68
221,0,68
222,0,68
293,0,68
223,0,59
224,0,59
416,0,59
417,0,59
418,0,59
226,0,85
227,0,85
415,0,39
228,0,45
23,0,26
24,0,26
301,0,26
302,0,26
303,0,26
230,0,94
231,0,94
232,0,94
386,0,0
235,0,64
500,0,64
236,0,89
238,0,89
239,0,34
240,0,34
241,0,34
242,0,34
254,0,34
255,0,34
259,0,48
526,0,48
616,0,41
245,0,9
247,0,96
248,0,75
249,0,75
25,0,35
26,0,35
341,0,69
650,0,15
252,0,31
365,0,31
257,0,15
346,0,15
361,0,63
451,0,15
585,0,63
258,0,48
368,0,48
525,0,48
261,0,66
262,0,66
431,0,14
611,0,66
263,0,77
264,0,77
265,0,77
266,0,77
466,0,4
267,0,72
268,0,72
388,0,72
27,0,0
28,0,0
300,0,6
436,0,11
278,0,11
279,0,11
479,0,70
34,0,17
51,0,0
52,0,0
576,0,4
280,0,15
325,0,3
284,0,58
285,0,58
287,0,58
288,0,58
575,0,4
580,0,60
289,0,24
290,0,24
291,0,24
292,0,24
547,0,24
623,0,24
331,0,81
53,0,1
92,0,9
294,0,68
296,0,12
320,0,12
337,0,12
338,0,12
339,0,12
297,0,1
298,0,1
30,0,56
31,0,56
32,0,56
305,0,76
304,0,76
306,0,76
307,0,76
308,0,51
309,0,51
310,0,51
315,0,61
342,0,56
42,0,13
464,0,4
311,0,8
313,0,8
349,0,8
314,0,61
423,0,61
522,0,61
326,0,20
424,0,20
482,0,20
491,0,49
319,0,12
321,0,21
322,0,21
324,0,21
328,0,38
330,0,38
612,0,38
33,0,1
593,0,1
35,0,17
36,0,17
37,0,17
340,0,69
343,0,56
344,0,4
345,0,4
462,0,4
465,0,4
347,0,15
348,0,15
350,0,8
353,0,8
592,0,42
354,0,7
355,0,7
356,0,16
407,0,7
599,0,16
600,0,16
517,0,91
358,0,53
360,0,53
513,0,53
362,0,63
586,0,63
587,0,63
363,0,31
364,0,31
374,0,31
366,0,14
369,0,48
80,0,17
81,0,17
82,0,17
371,0,20
373,0,20
596,0,29
597,0,29
598,0,29
620,0,93
375,0,69
392,0,25
377,0,19
379,0,19
539,0,19
540,0,19
38,0,9
40,0,9
380,0,62
627,0,62
628,0,62
615,0,41
382,0,44
383,0,44
384,0,44
427,0,27
542,0,44
543,0,44
544,0,44
387,0,72
389,0,72
391,0,25
393,0,25
395,0,25
394,0,25
396,0,25
397,0,25
399,0,64
48,0,9
50,0,9
93,0,9
444,0,0
402,0,88
403,0,88
404,0,88
406,0,7
408,0,38
409,0,38
41,0,13
429,0,13
47,0,13
472,0,36
71,0,13
72,0,13
413,0,39
420,0,45
425,0,20
428,0,1
43,0,31
44,0,31
430,0,14
432,0,14
433,0,14
471,0,36
435,0,57
562,0,26
440,0,32
448,0,32
449,0,32
452,0,32
443,0,66
445,0,86
447,0,86
588,0,42
454,0,79
455,0,79
498,0,79
457,0,10
460,0,10
461,0,4
463,0,4
467,0,4
469,0,80
635,0,80
476,0,0
480,0,70
481,0,70
49,0,9
647,0,41
487,0,51
632,0,74
490,0,49
494,0,82
495,0,82
496,0,82
497,0,82
501,0,46
503,0,46
516,0,91
518,0,91
565,0,57
523,0,61
524,0,61
527,0,48
531,0,5
571,0,30
573,0,30
614,0,1
537,0,19
538,0,19
54,0,78
55,0,78
594,0,33
545,0,20
554,0,22
555,0,22
556,0,22
557,0,22
558,0,22
559,0,22
560,0,22
56,0,6
563,0,26
564,0,57
568,0,30
569,0,30
570,0,30
572,0,30
574,0,30
57,0,12
58,0,12
59,0,12
577,0,4
579,0,60
581,0,60
582,0,60
91,0,12
589,0,42
591,0,42
6,0,75
7,0,75
60,0,23
61,0,23
62,0,23
63,0,23
64,0,23
65,0,23
66,0,23
67,0,23
613,0,38
625,0,49
646,0,41
617,0,28
621,0,93
622,0,93
629,0,74
630,0,74
631,0,74
634,0,80
638,0,37
640,0,37
643,0,87
644,0,87
645,0,41
651,0,15
68,0,90
69,0,90
70,0,90
73,0,18
74,0,18
75,0,18
76,0,18
77,0,18
78,0,18
79,0,18
453,0,18
8,0,71
83,0,29
84,0,29
85,0,40
86,0,40
87,0,40
88,0,40
89,0,40
90,0,40
9,0,45
94,0,84
95,0,84
96,0,84
97,0,84
98,0,92
100,0,92
99,0,92
